cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,paid
Ugw7c2tgp1E-lPEYy3p4AaABAg,"Sekarang menonton pesta babi tetapi setelah sawah ini jadi , kita akan melihat pesta panen dan selayaknya warga setempat menikmatinya......gunakan logika berfikir",1 day ago,@siswoyo4786,UCTbhh8pJTPGD7C8ET5BC6SA,0,,https://yt3.ggpht.com/ytc/AIdro_kmLLDIVAQnUDiEhGKULGglnE7I-JZxxHFiGLafVWo=s88-c-k-c0x00ffffff-no-rj,False,False,1781591557.119521,
UgzInH3aF8rX-DBN00Z4AaABAg,papua pisah dr indonesia  kalian kaya,2 days ago,@suyatmisuyatmi-qi4gf,UC1LbeF11rGbhjjYNJR8378g,0,,https://yt3.ggpht.com/ytc/AIdro_momCzWinqemrHVRkrALpkqOgWMuuCZmQETvZkxuCGOrH4d_knhnFbGxobnamVu-3gWDA=s88-c-k-c0x00ffffff-no-rj,False,False,1781505157.121182,
Ugymycxu1AkJYn_UKhd4AaABAg,"Film dokumenter pesanan asing 2 yg ingin tetap pesta diatas penderitaan dan kemiskinan rakyat Papua,,jgn mau diadu domba saudara2ku❤
Puluhan tahun kita dibohong2i para asing2 yh yg tdk ingin Indonesia maju",3 days ago,@afrizaldy4022,UCQtO6mNsME7rUtX-7UyNtsQ,0,,https://yt3.ggpht.com/ytc/AIdro_kNi7hNJwfEJRofz6R-goCY3X4t7F8oezOgj25Y2sfbFEI=s88-c-k-c0x00ffffff-no-rj,False,False,1781418757.122631,
Ugxkop2zjq6H8rDkpVB4AaABAg,TOLONG SEMUA BIOSKOP TAYANGKAN INI SANGAT PENTING! BILA PERLU PAS 17 AGUTUS NANTI PUTAR BESAR-BESARAN DI ISTANA NEGARA,3 days ago,@RikartinoRikartino,UCamCr0fECDG10GcH6nKz4Aw,0,,https://yt3.ggpht.com/ytc/AIdro_ktgf3psRkAgKqgtBrHqhFCpTwn8CtlBGMPzkRqQ28gVAm_OArHXAgXv_ztPUnBWg1sIA=s88-c-k-c0x00ffffff-no-rj,False,False,1781418757.124077,
UgzIJzc2TM8SopRVrSF4AaABAg,"Titip syair untuk film ini


Bumiku yang Dirampas

Bumiku yang merdeka telah dirampas,
bukan dengan dentuman meriam,
melainkan perlahan,
oleh tangan-tangan yang mengaku membawa kemajuan.

Hutan tumbang, sungai mengering,
langit kehilangan warna birunya.
Di tanah yang diwariskan leluhur,
aku melihat jejak-jejak kehilangan tumbuh setiap hari.

Sementara itu, cita-citaku
masih terbaring di antara tumpukan mimpi,
terombang-ambing oleh waktu,
dibuai harapan yang tak kunjung menemukan pantainya.

Aku berjalan membawa tanya,
menyusuri jalan yang penuh ketidakpastian.
Kepada angin, kepada malam, kepada bintang-bintang yang diam,
aku menitipkan pertanyaan yang sama:

Kapan semua ini akan tercapai?
Kapan keadilan kembali pulang ke tanah ini?
Kapan mimpi-mimpi berhenti menjadi bayang-bayang,
dan menjelma kenyataan yang dapat kugenggam?

Namun di tengah gelap yang panjang,
aku memilih menjaga nyala kecil di dada.
Sebab selama harapan belum padam,
selama langkah masih mampu bergerak,

aku percaya,
suatu hari nanti bumiku akan kembali bernapas merdeka,
dan cita-cita yang lama terbuai mimpi
akan bangun, berdiri, lalu tumbuh menjadi kenyataan.

D.R. Saputra
13 06 2026",4 days ago (edited),@AstrayDs-e1w,UCBbVLT445avW9VrZIRraetA,0,,https://yt3.ggpht.com/ytc/AIdro_lO1bg78qyz0HR_ZIH8s5qeSfzYr9fVSd1DukOaqgMnQ42rwYpPYWufcdbL9Z9Zby0O7g=s88-c-k-c0x00ffffff-no-rj,False,False,1781332357.12553,
UgyysYPwHQ24X8f9gIN4AaABAg,"Pesta para Babi pembangunan. Ini gila, konyol. Mengatasi masalah dengan membuat masalah yang lebih besar.",4 days ago,@stevewara9981,UCmb1cGBgvLPCzGquOqkpv5A,0,,https://yt3.ggpht.com/ytc/AIdro_lcImigwWDsWB6xlF7NcUwCsA5ibegPWEURh-KLToQmYWLO=s88-c-k-c0x00ffffff-no-rj,False,False,1781332357.12695,
Ugzi7IzN4xmXqU5mhrV4AaABAg,VIRALKAN,4 days ago,@Jayalah-Pelaut,UCzFceOQWyR2F9v9VJHmX2cQ,0,,https://yt3.ggpht.com/s4yQ9VjxRXa3mhwzSDv38_CPscLt2UCavJSlW8ondvyJMBtaIQcpiHzJhT6SkQ3w7QSmMDEMHg=s88-c-k-c0x00ffffff-no-rj,False,False,1781332357.128369,
UgwZAyMBbNt1adsI_zt4AaABAg,V,4 days ago,@Jayalah-Pelaut,UCzFceOQWyR2F9v9VJHmX2cQ,0,,https://yt3.ggpht.com/s4yQ9VjxRXa3mhwzSDv38_CPscLt2UCavJSlW8ondvyJMBtaIQcpiHzJhT6SkQ3w7QSmMDEMHg=s88-c-k-c0x00ffffff-no-rj,False,False,1781332357.129769,
UgyNhdmPVJV6KZrdybV4AaABAg,VIRALKAN,4 days ago,@Jayalah-Pelaut,UCzFceOQWyR2F9v9VJHmX2cQ,0,,https://yt3.ggpht.com/s4yQ9VjxRXa3mhwzSDv38_CPscLt2UCavJSlW8ondvyJMBtaIQcpiHzJhT6SkQ3w7QSmMDEMHg=s88-c-k-c0x00ffffff-no-rj,False,False,1781332357.131193,
UgzY1fH9b4M8Dof9s-94AaABAg,VIRALKAN,4 days ago,@Jayalah-Pelaut,UCzFceOQWyR2F9v9VJHmX2cQ,0,,https://yt3.ggpht.com/s4yQ9VjxRXa3mhwzSDv38_CPscLt2UCavJSlW8ondvyJMBtaIQcpiHzJhT6SkQ3w7QSmMDEMHg=s88-c-k-c0x00ffffff-no-rj,False,False,1781332357.132718,
